,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
88,Congratulations,"Post Malone",45428,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
89,Heathens,"Twenty One Pilots",45329,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
90,Starving,"Hailee Steinfeld",45302,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
91,"Don't Wanna Know","Maroon 5",44993,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
92,"Side To Side","Ariana Grande",44570,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
93,"Romantic - NOTD Remix",Stanaj,44560,https://open.spotify.com/track/3SGWp9fJCzgK0WcpcKSQdy
94,"Oceans Away","A R I Z O N A",44501,https://open.spotify.com/track/6A8dnC0xkiuWN4BshmTB2I
95,"Love On The Brain",Rihanna,44452,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02
96,"Don't Let Me Down","The Chainsmokers",43915,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
97,"Es geht ums Geschäft","Capital Bra",43592,https://open.spotify.com/track/67Igkn3LegGXD5Xe0yjJVM
98,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",43504,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
99,"24K Magic","Bruno Mars",43331,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
100,"Love Me Now","John Legend",43094,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
101,Love,"Lana Del Rey",42369,https://open.spotify.com/track/0n2bvWvMwr0gbjcuTm92eW
102,Skandale,"Bonez MC",42173,https://open.spotify.com/track/369SOcTvxnm9DWYIzoNzal
103,"No Roots","Alice Merton",41788,https://open.spotify.com/track/4bPWDXpN6MlTZBedxega3X
104,"Mask Off",Future,40797,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
105,"Sex ohne Grund (feat. Shindy)","Ali Bumaye",40797,https://open.spotify.com/track/7cufww06qM0dH2rpkch4fi
106,"Kartell (feat. Azet & Nash)",Zuna,39780,https://open.spotify.com/track/2z7IrWdtG3Rx3xA3Zq2yFK
107,Ahnma,Beginner,39751,https://open.spotify.com/track/5CXjevTAQIYO1Z0yyiOOno
108,"Two Princes - Radio Mix","Fake Pictures",39642,https://open.spotify.com/track/1iTKkkgXj8kJkGdjGGBFqL
109,"So schön kaputt",SDP,39184,https://open.spotify.com/track/6I8R2dillIEsMrBm6IZqxv
