,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
90,"Side To Side","Ariana Grande",60207,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
91,"Love on Me",Galantis,59634,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF
92,Naive,"The Kooks",59140,https://open.spotify.com/track/7BHPGtpuuWWsvE7cCaMuEU
93,"Should've Been Me","Naughty Boy",58285,https://open.spotify.com/track/4aiLpwwZw5Ek9KkBMnt6Zu
94,"Shape of You (feat. Nyla & Kranium) - Major Lazer Remix","Ed Sheeran",58129,https://open.spotify.com/track/1KqvRRQd3lfM0pAlkGPrgD
95,"Fluorescent Adolescent","Arctic Monkeys",57705,https://open.spotify.com/track/7e8utCy2JlSB8dRHKi49xM
96,"Black Beatles","Rae Sremmurd",57637,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
97,"In the Name of Love","Martin Garrix",56688,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
98,"Too Good",Drake,56605,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
99,Redbone,"Childish Gambino",55453,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
100,Congratulations,"Post Malone",54098,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
101,"Miss You","James Hersey",53997,https://open.spotify.com/track/7of1slAJIWrXxP8ikAHxje
102,"Mask Off",Future,52246,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
103,Sorry,"Justin Bieber",52220,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
104,Mercy,"Shawn Mendes",52054,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
105,"Not In Love",M.O,51883,https://open.spotify.com/track/5Odgb6uCWnL8U3Eb3ijLZj
106,"What You Know","Two Door Cinema Club",51881,https://open.spotify.com/track/6jrMVRReY24qzCfe1BRrww
107,"I Got You","Bebe Rexha",51633,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i
108,Love$ick,"Mura Masa",51554,https://open.spotify.com/track/5v9N8Rx3QsFvr50cxyQcA3
109,"Love Me Now","John Legend",51450,https://open.spotify.com/track/6nxQdXa1uAL0rY72wPZu89
110,"Girls Like (feat. Zara Larsson)","Tinie Tempah",51427,https://open.spotify.com/track/5BOZ4skcMubA0R6RD4zf64
111,"Don't Let Me Down","The Chainsmokers",51134,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
112,"Comin Out Strong (feat. The Weeknd)",Future,50646,https://open.spotify.com/track/3mRcWCyteY2133a7xVMrYw
113,"Selfish (feat. Rihanna)",Future,50223,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
114,"Shooting Stars","Bag Raiders",49876,https://open.spotify.com/track/0UeYCHOETPfai02uskjJ3x
115,"Lock Doh",Giggs,49642,https://open.spotify.com/track/6OJ5jV3ClJbMgyZj6H5hK0
116,Pompeii,Bastille,49342,https://open.spotify.com/track/3gbBpTdY8lnQwqxNCcf795
117,"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Sia,48714,https://open.spotify.com/track/5fc6rQgAKiLutfUYWQ6QnJ
118,"Ignition - Remix","R. Kelly",48435,https://open.spotify.com/track/5dNfHmqgr128gMY2tc5CeJ
119,"Party Monster","The Weeknd",48050,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
120,"Shape of You - Acoustic","Ed Sheeran",48042,https://open.spotify.com/track/5ULRlgiSPSKTaJN1vU9yso
121,"Only One - Radio Edit",Sigala,47678,https://open.spotify.com/track/5ev0Z2lFzmhjlQCWpRAWiG
122,"Treat You Better","Shawn Mendes",47610,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
123,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",47433,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
124,Reminder,"The Weeknd",47151,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI
125,Heathens,"Twenty One Pilots",46747,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr
